Wed May  5 11:51:54 2021    profile_stats

         20536331 function calls (20387658 primitive calls) in 185796.763 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3489    0.038    0.000    0.259    0.000 C:\ProgramData\Anaconda3\lib\site-packages\PIL\PngImagePlugin.py:561(_open)
       80    0.011    0.000    0.242    0.003 C:\Users\Media Markt\Desktop\Vita Online\LoL\runescrape\ChampionNameBox.py:25(update_names)
   468212    0.093    0.000    0.234    0.000 C:\ProgramData\Anaconda3\lib\abc.py:137(__instancecheck__)
   419214    0.166    0.000    0.226    0.000 C:\ProgramData\Anaconda3\lib\html\__init__.py:91(_replace_charref)
     6390    0.029    0.000    0.217    0.000 C:\ProgramData\Anaconda3\lib\pathlib.py:1019(__new__)
  285/152    0.007    0.000    0.206    0.001 C:\ProgramData\Anaconda3\lib\tkinter\__init__.py:2302(destroy)
   770034    0.204    0.000    0.204    0.000 {method 'group' of 're.Match' objects}
   281132    0.203    0.000    0.203    0.000 {method 'search' of 're.Pattern' objects}
  1029964    0.198    0.000    0.198    0.000 {built-in method builtins.hasattr}
   409523    0.077    0.000    0.192    0.000 {built-in method builtins.next}
     3153    0.014    0.000    0.189    0.000 C:\ProgramData\Anaconda3\lib\tkinter\__init__.py:3540(__init__)
     2016    0.011    0.000    0.187    0.000 C:\ProgramData\Anaconda3\lib\site-packages\PIL\Image.py:831(convert)
    31712    0.162    0.000    0.187    0.000 {method 'read' of '_io.BufferedReader' objects}
       84    0.002    0.000    0.185    0.002 C:\Users\Media Markt\Desktop\Vita Online\LoL\runescrape\GUI.py:69(add_roles)
     6390    0.026    0.000    0.182    0.000 C:\ProgramData\Anaconda3\lib\pathlib.py:664(_from_parts)
     3153    0.052    0.000    0.175    0.000 C:\ProgramData\Anaconda3\lib\tkinter\__init__.py:3484(__init__)
 1344/672    0.013    0.000    0.165    0.000 C:\ProgramData\Anaconda3\lib\site-packages\PIL\Image.py:1786(resize)
     6390    0.032    0.000    0.150    0.000 C:\ProgramData\Anaconda3\lib\pathlib.py:644(_parse_args)
       58    0.001    0.000    0.147    0.003 C:\Users\Media Markt\Desktop\Vita Online\LoL\runescrape\RunesDisplay.py:30(__init__)
   156732    0.077    0.000    0.146    0.000 C:\ProgramData\Anaconda3\lib\site-packages\bs4\builder\_htmlparser.py:159(handle_data)
   353427    0.145    0.000    0.145    0.000 {method 'count' of 'str' objects}
     2889    0.005    0.000    0.142    0.000 C:\Users\Media Markt\Desktop\Vita Online\LoL\runescrape\ChampionNameBox.py:48(remove_name)
   468212    0.140    0.000    0.141    0.000 {built-in method _abc._abc_instancecheck}
   453554    0.132    0.000    0.139    0.000 C:\ProgramData\Anaconda3\lib\site-packages\bs4\element.py:1717(descendants)
     2889    0.002    0.000    0.135    0.000 C:\ProgramData\Anaconda3\lib\tkinter\__init__.py:2789(delete)
   108421    0.109    0.000    0.129    0.000 C:\ProgramData\Anaconda3\lib\site-packages\bs4\__init__.py:458(pushTag)
     3115    0.011    0.000    0.114    0.000 C:\ProgramData\Anaconda3\lib\site-packages\PIL\ImageTk.py:117(__del__)
   313880    0.074    0.000    0.114    0.000 C:\ProgramData\Anaconda3\lib\site-packages\bs4\element.py:1858(_normalize_search_value)
     3493    0.113    0.000    0.113    0.000 {method 'close' of '_io.BufferedReader' objects}
     6390    0.053    0.000    0.109    0.000 C:\ProgramData\Anaconda3\lib\pathlib.py:63(parse_parts)
     6978    0.028    0.000    0.105    0.000 C:\ProgramData\Anaconda3\lib\site-packages\PIL\PngImagePlugin.py:138(call)
   595389    0.105    0.000    0.105    0.000 {method 'get' of 'dict' objects}
    10467    0.028    0.000    0.103    0.000 C:\ProgramData\Anaconda3\lib\site-packages\PIL\PngImagePlugin.py:106(read)
   108336    0.078    0.000    0.101    0.000 C:\ProgramData\Anaconda3\lib\site-packages\bs4\__init__.py:448(popTag)
   165536    0.101    0.000    0.101    0.000 {built-in method __new__ of type object at 0x00007FFF0A5179A0}
    75946    0.099    0.000    0.099    0.000 {method 'findall' of 're.Pattern' objects}
        1    0.000    0.000    0.099    0.099 C:\Users\Media Markt\Desktop\Vita Online\LoL\runescrape\RunesDisplay.py:172(__init__)
   793590    0.097    0.000    0.097    0.000 {method 'append' of 'list' objects}
        3    0.001    0.000    0.094    0.031 C:\Users\Media Markt\Desktop\Vita Online\LoL\runescrape\RunesDisplay.py:98(__init__)
     2894    0.004    0.000    0.089    0.000 C:\Users\Media Markt\Desktop\Vita Online\LoL\runescrape\ChampionNameBox.py:41(add_name)
        4    0.000    0.000    0.089    0.022 C:\ProgramData\Anaconda3\lib\site-packages\urllib3\contrib\pyopenssl.py:448(load_verify_locations)
        4    0.000    0.000    0.089    0.022 C:\ProgramData\Anaconda3\lib\site-packages\OpenSSL\SSL.py:762(load_verify_locations)
        4    0.089    0.022    0.089    0.022 {built-in method _openssl.SSL_CTX_load_verify_locations}
        1    0.000    0.000    0.084    0.084 C:\ProgramData\Anaconda3\lib\site-packages\bs4\element.py:1754(select)
        1    0.000    0.000    0.084    0.084 C:\ProgramData\Anaconda3\lib\site-packages\soupsieve\__init__.py:111(select)
        4    0.000    0.000    0.084    0.021 C:\ProgramData\Anaconda3\lib\site-packages\urllib3\connection.py:143(_new_conn)
        4    0.000    0.000    0.084    0.021 C:\ProgramData\Anaconda3\lib\site-packages\urllib3\util\connection.py:33(create_connection)
        1    0.000    0.000    0.084    0.084 C:\ProgramData\Anaconda3\lib\site-packages\soupsieve\css_match.py:1518(select)
        2    0.000    0.000    0.084    0.042 C:\ProgramData\Anaconda3\lib\site-packages\soupsieve\css_match.py:1523(iselect)
        2    0.002    0.001    0.084    0.042 C:\ProgramData\Anaconda3\lib\site-packages\soupsieve\css_match.py:1391(select)
     2894    0.002    0.000    0.080    0.000 C:\ProgramData\Anaconda3\lib\tkinter\__init__.py:2804(insert)
      285    0.003    0.000    0.078    0.000 C:\ProgramData\Anaconda3\lib\tkinter\__init__.py:2286(__init__)
       81    0.068    0.001    0.073    0.001 {built-in method _pickle.load}
   159301    0.053    0.000    0.070    0.000 C:\ProgramData\Anaconda3\lib\site-packages\bs4\__init__.py:654(handle_data)
     18/8    0.000    0.000    0.068    0.008 <frozen importlib._bootstrap>:978(_find_and_load)
     4965    0.004    0.000    0.068    0.000 C:\ProgramData\Anaconda3\lib\site-packages\soupsieve\css_match.py:1422(match)
     18/8    0.000    0.000    0.068    0.008 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
     1699    0.002    0.000    0.067    0.000 C:\ProgramData\Anaconda3\lib\site-packages\bs4\builder\_htmlparser.py:86(handle_startendtag)
     18/8    0.000    0.000    0.065    0.008 <frozen importlib._bootstrap>:663(_load_unlocked)
     17/8    0.000    0.000    0.064    0.008 {built-in method builtins.__import__}
     3405    0.014    0.000    0.064    0.000 C:\ProgramData\Anaconda3\lib\site-packages\bs4\element.py:2069(__init__)
   472525    0.063    0.000    0.063    0.000 {method 'lower' of 'str' objects}
     3489    0.005    0.000    0.061    0.000 C:\ProgramData\Anaconda3\lib\site-packages\PIL\Image.py:322(preinit)
   286205    0.061    0.000    0.061    0.000 {method 'startswith' of 'str' objects}
     17/7    0.000    0.000    0.061    0.009 <frozen importlib._bootstrap_external>:722(exec_module)
    79135    0.035    0.000    0.061    0.000 C:\ProgramData\Anaconda3\lib\site-packages\bs4\element.py:1291(get)
     34/8    0.000    0.000    0.061    0.008 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
    62/25    0.000    0.000    0.060    0.002 <frozen importlib._bootstrap>:1009(_handle_fromlist)
4971/4965    0.007    0.000    0.060    0.000 C:\ProgramData\Anaconda3\lib\site-packages\soupsieve\css_match.py:1307(match_selectors)
     2484    0.007    0.000    0.057    0.000 C:\ProgramData\Anaconda3\lib\_markupbase.py:168(parse_comment)
   108336    0.046    0.000    0.057    0.000 C:\ProgramData\Anaconda3\lib\site-packages\bs4\element.py:1105(is_empty_element)
   461661    0.056    0.000    0.056    0.000 {method 'end' of 're.Match' objects}
     3489    0.009    0.000    0.055    0.000 C:\ProgramData\Anaconda3\lib\site-packages\PIL\PngImagePlugin.py:633(load_prepare)
     3489    0.016    0.000    0.055    0.000 C:\ProgramData\Anaconda3\lib\site-packages\PIL\PngImagePlugin.py:668(load_end)
     3404    0.021    0.000    0.053    0.000 C:\ProgramData\Anaconda3\lib\site-packages\bs4\element.py:1820(__init__)
     7079    0.009    0.000    0.052    0.000 C:\ProgramData\Anaconda3\lib\logging\__init__.py:1356(debug)
       17    0.000    0.000    0.052    0.003 <frozen importlib._bootstrap_external>:793(get_code)
        1    0.002    0.002    0.052    0.052 C:\ProgramData\Anaconda3\lib\tkinter\__init__.py:2058(destroy)
